"","playDispNm","blkPerGame","trbPerGame","stlPerGame","toPerGame","astPerGame","ptsPerGame","teamWins","mvpScore"
"57","Nikola Vučević",1.05769230769231,9.19230769230769,0.980769230769231,2.01923076923077,3.28846153846154,17.0961538461538,15,52.7211538461538
"58","Al Horford",1.13432835820896,7.38805970149254,0.552238805970149,1.91044776119403,4.88059701492537,12.7761194029851,46,52.7089552238806
"59","T.J. Warren",0.630769230769231,5.10769230769231,1,1.29230769230769,1.30769230769231,19.5538461538462,18,52.5646153846154
"60","Julius Randle",0.586666666666667,8.04,0.546666666666667,2.56,2.48,16.2666666666667,33,52.2213333333333
"61","Steven Adams",1.09859154929577,9.05633802816901,1.25352112676056,1.61971830985915,1.14084507042254,13.9718309859155,39,52.1070422535211
"62","Rudy Gobert",2.3,10.78,0.8,1.82,1.34,13.86,32,51.664
"63","MarShon Brooks",0.5,1,1.5,1,2,22.5,1,51.45
"64","Jayson Tatum",0.76,5.09333333333333,0.946666666666667,1.45333333333333,1.53333333333333,13.72,52,51.1666666666667
"65","Jonas Valančiūnas",0.901408450704225,8.53521126760563,0.408450704225352,1.53521126760563,1.09859154929577,12.6901408450704,53,51.1323943661972
"66","Jeff Teague",0.318181818181818,2.98484848484848,1.45454545454545,2.54545454545455,7.01515151515152,13.8333333333333,38,51.0787878787879
"67","Hassan Whiteside",1.6875,11.6458333333333,0.791666666666667,1.85416666666667,1.02083333333333,14.125,27,50.5041666666667
"68","J.J. Redick",0.078125,2.578125,0.515625,1.484375,3,16.5625,39,50.4859375
"69","Kyle Kuzma",0.452054794520548,6.36986301369863,0.63013698630137,1.72602739726027,1.87671232876712,16.041095890411,33,50.4342465753425
"70","Brandon Ingram",0.728813559322034,5.33898305084746,0.76271186440678,2.54237288135593,3.89830508474576,16.0847457627119,27,49.7186440677966
"71","Jaylen Brown",0.359375,5.171875,0.984375,1.734375,1.65625,14.203125,45,49.6078125
"72","Ricky Rubio",0.140845070422535,4.54929577464789,1.61971830985915,2.8169014084507,5.42253521126761,12.7605633802817,39,48.7633802816901
"73","Thaddeus Young",0.473684210526316,6.30263157894737,1.65789473684211,1.31578947368421,1.89473684210526,11.9736842105263,45,48.7315789473684
"74","Robert Covington",0.794520547945205,5.28767123287671,1.56164383561644,1.65753424657534,1.91780821917808,12.7534246575342,44,48.6931506849315
"75","Enes Kanter",0.52112676056338,10.9859154929577,0.507042253521127,1.71830985915493,1.47887323943662,14.0845070422535,27,48.6549295774648
"76","Tim Hardaway Jr.",0.185185185185185,3.88888888888889,1.09259259259259,1.61111111111111,2.68518518518519,17.537037037037,18,48.35
"77","Evan Fournier",0.280701754385965,3.14035087719298,0.824561403508772,1.66666666666667,2.89473684210526,17.7719298245614,20,48.3350877192982
"78","Nikola Mirotić",0.693877551020408,6.95918367346939,0.775510204081633,1.20408163265306,1.48979591836735,14.8163265306122,29,48.1122448979592
"79","Serge Ibaka",1.28571428571429,6.18571428571429,0.385714285714286,1.15714285714286,0.785714285714286,12.4428571428571,50,47.7985714285714
"80","Trevor Ariza",0.206349206349206,4.50793650793651,1.47619047619048,0.825396825396825,1.63492063492063,11.9365079365079,49,47.6539682539683
"81","Terry Rozier",0.213333333333333,4.61333333333333,1,0.933333333333333,2.70666666666667,11.36,52,47.5746666666667
"82","Josh Richardson",0.893333333333333,3.42666666666667,1.50666666666667,1.76,2.85333333333333,13.04,41,47.4773333333333
"83","Taj Gibson",0.688311688311688,7.05194805194805,0.779220779220779,1.1038961038961,1.24675324675325,12.2857142857143,44,47.4753246753247
"84","Myles Turner",1.91525423728814,6.69491525423729,0.576271186440678,1.49152542372881,1.42372881355932,13.271186440678,36,47.1966101694915
